0,1
The disciples went and did as Jesus had instructed them.,"Abigishwa baragenda, babigenza nk’uko Yesu yababgiye,"
"Jesus spoke to them again in parables, saying:","Yesu yongera kuvuganira na bo mu migani,"
"The rest seized his servants, mistreated them and killed them.","Abasigaye bafata abo bagendanyi biwe, babakorera ibara, barabica."
"“For many are invited, but few are chosen.”","Kukw abatowe ari benshi, arikw abatoranijwe bakaba bake."
"Finally, the woman died.",Hanyuma ya bose nya mugore arapfa.
"“Teacher, which is the greatest commandment in the Law?”","ati Mwigisha, ibgirizwa risumba ayandi mu vyagezwe n’irihe?"
This is the first and greatest commandment.,Iryo ni ryo rihambaye rya mbere.
"While the Pharisees were gathered together, Jesus asked them,","Abafarisayo bagikoraniye hamwe, Yesu arababaza,"
Then Jesus said to the crowds and to his disciples:,"Maze Yesu abarira ishengero n’abigishwa biwe,"
The greatest among you will be your servant.,Arik’ umukuru muri mwebge az’ abe umukozi wanyu.
"Go ahead, then, and complete what your ancestors started!",None ni mwuzurize ingero ya ba sogokuruza banyu.
"Look, your house is left to you desolate.",Rāba inzu yanyu muyitānywe ar’ umusaka.
Jesus answered: “Watch out that no one deceives you.,"Yesu arabishura, ati Mwirinde, ntihagire ūbazimiza."
All these are the beginning of birth pains.,arikw ivyo vyose n’itanguriro ryo kuramukwa.
and many false prophets will appear and deceive many people.,"Kandi hazokwaduka abīgira abavugishwa n’Imana benshi, bazimize benshi."
"See, I have told you ahead of time.",Rāba ndabibabgiye bitaraba.
"Wherever there is a carcass, there the vultures will gather.","Ah’ umuvyimba uri hose, ni ho ibinyakabaka bizokoranira."
Five of them were foolish and five were wise.,"Batanu muri bo bār’ ibijuju, bandi batanu bār’ abanyabgenge."
“Then all the virgins woke up and trimmed their lamps.,"Buno za nkumi zose zirazanzamuka, zitunganya amatara yazo."
and they schemed to arrest Jesus secretly and kill him.,"baja inama yo gusuka Yesu ngo bamufate, bamwice."
Rise! Let us go! Here comes my betrayer!”,"Ni muvyuke, tugende, eh’ ūnguze ari hafi."
"and said, “Prophesy to us, Messiah. Who hit you?”","bati Yewe Kristo, dupfindūre: ni nde agukubise?"
"They stripped him and put a scarlet robe on him,","Bamwambura iziwe mpuzu bamwambika umutamana w’agahama,"
"And sitting down, they kept watch over him there.",bicara hano baramurinda.
"When they saw him, they worshiped him; but some doubted.","bamubonye, baramusenga, ariko bamwe barakekeranya."
"This is good, and pleases God our Savior,","Ivyo ni vyo vyiza vyemerwa mu nyonga z’Imana Umukiza wacu,"
A woman should learn in quietness and full submission.,Umugore yige atekereje agamburuka rwose.
"For Adam was formed first, then Eve.","Kuko Adamu ari we yabanje kuremwa, hanyuma Eva."
This is a trustworthy saying that deserves full acceptance.,Iryo jambo n’iryo kwizerwa rikwiye kwemerwa rwose.
Command and teach these things.,Wame ubgiriza ivyo kand’ uvyigisha.
Some have in fact already turned away to follow Satan.,"Kuko n’ubu bamwe bamaze guta inzira, ngo bakurikire Satani."
But godliness with contentment is great gain.,Ariko kwubaha Imana gufatanije no kubūmbga n’ivy’ ufise kuvamw’ inyungu nyinshi koko:
"Gather together, gather yourselves together, you shameful nation,","Ni mukoranire hamwe, mbere ni mukorane, yewe hanga ritagira isoni;"
"“You Cushites, too, will be slain by my sword.”","Namwe Banyetiyopiya n’uko, muzokwicwa n’inkota y’Uhoraho."
"Woe to the city of oppressors, rebellious and defiled!","Uzobona ibara, urya murwa wagararije, wanduye, kand’ uhahaza!"
In the beginning God created the heavens and the earth.,Ubga mbere na mbere Imana yaremye ijuru n’isi.
"And there was evening, and there was morning—the third day.","Buragoroba, buraca: uwo n’umusi ugira gatatu."
"And there was evening, and there was morning—the fourth day.","Buragoroba, buraca: uwo n’umusi ugira kane."
"And there was evening, and there was morning—the fifth day.","Buragoroba, buraca: uwo n’ umusi ugira gatanu."
"If Cain is avenged seven times, then Lamech seventy-seven times.”","Asangwa uwokwishe Kayini yobihaniwe ibihetangabo ndwi, N’ukuri uwokwica Lameki yobihanirwa ibihetangabo mirongwirindwi n’indwi!"
"Altogether, Enoch lived a total of 365 years.",Imisi yose Henoki yamaze yabaye imyaka amajana atatu na mirongwitandatu n’itanu.
"When Lamech had lived 182 years, he had a son.",Lameki amaze imyaka ijana na mirongumunani n’ibiri avyara umwana w’umuhungu:
"Noah had three sons: Shem, Ham and Japheth.","Yavyaye abahungu batatu, Shemu na Hamu na Yafeti."
Noah did everything just as God commanded him.,Nuko Nowa abigenza artyo: ukw Imana yamubariye kwose ni ko yakoze.
And Noah did all that the Lord commanded him.,Nuko Nowa abigenza nk’uk’ Uhoraho yabimugeze vyose.
"Then God said to Noah,","Imana ibarira Nowa,"
After the flood Noah lived 350 years.,"Wa mwuzure uhise, Nowa amara imyaka amajana atatu na mirongwitanu."
"The sons of Gomer: Ashkenaz, Riphath and Togarmah.",Aba Gomeri ni Ashikenazi na Rifati na Togaruma.
"The sons of Ham: Cush, Egypt, Put and Canaan.",Aba Hamu ni Kushi na Misirayimu na Puti na Kanani.
"Egypt was the father of the Ludites, Anamites, Lehabites, Naphtuhites,",Misirayimu yakomōtsweko n’Abaludi n’Abanami n’ Abalehabi n’Abanafutuhi
"Pathrusites, Kasluhites (from whom the Philistines came) and Caphtorites.","n’ Abapatirusi n’Abakasiluhi (ni bo bākomōtsweko n’Abafilisitiya), kandi yakomōtsweko n’Abakafutori."
"Jebusites, Amorites, Girgashites,",kandi Kanani ni we yakomōtsweko n’Abayebusi n’Abamori n’Abagirugashi
"Hivites, Arkites, Sinites,",n’Abahiwi n’Abaruki n’Abasini
"Arvadites, Zemarites and Hamathites. Later the Canaanite clans scattered",n’Abaruvadi n’Abasemari n’Abahamati: hanyuma imiryango y’Abanyakanani igenda irakwira.
"The sons of Shem: Elam, Ashur, Arphaxad, Lud and Aram.",Aba Shemu ni Elamu na Ashuri na Arupakisadi na Ludi na Aramu.
"The sons of Aram: Uz, Hul, Gether and Meshek.",Aba Aramu ni Uzi na Huli na Geteri na Mashi.
"Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,",Yokitani yavyaye Alumodadi na Shelefu na Hasarumaweti na Yera
"Hadoram, Uzal, Diklah,",na Hadoramu na Uzalu na Dikila
"Obal, Abimael, Sheba,",na Obalu na Abimayeli na Sheba
"Ophir, Havilah and Jobab. All these were sons of Joktan.",na Ofiru na Havila na Yobabu; abo bose ni bene Yokitani.
"Terah lived 205 years, and he died in Harran.",Imisi Tera yamaze yabaye imyaka amajana abiri n’iyindi itanu: Tera araheza apfira i Harani.
Then Abram set out and continued toward the Negev.,"Nuko Aburamu akomeza kugenda aratāhīra, yerekeye i Negebu."
"the land of the Kenites, Kenizzites, Kadmonites,","ari co c’Abanyakeni n’ic’ Abakenizi n’ic’ Abakadimoni,"
"Hittites, Perizzites, Rephaites,","n’ic’ Abaheti n’ic’ Abaferizi n’ic’ Abarefa,"
"Amorites, Canaanites, Girgashites and Jebusites.”",n’ic’ Abamori n’ic’ Abanyakanani n’ic’ Abagirugashi n’ic’ Abayebusi.
Abram was eighty-six years old when Hagar bore him Ishmael.,Aburamu yar’ amaze imyaka mirongumunani n’ itandatu igihe Hagari yavyarana na we Ishimayeli.
"Abram fell facedown, and God said to him,","Aburamu arapfukama, arūnama, Imana iramubgira,"
"Abraham was ninety-nine years old when he was circumcised,",Aburahamu yar’ amaze imyaka mirongwicenda n’icenda igihe yakebga.
and his son Ishmael was thirteen;,Ishimayeli umuhungu wiwe na we yar’ amaze imyaka cumi n’itatu igihe yakebga.
"and said, “No, my friends. Don’t do this wicked thing.","Arababgira, ati Bene data, ndabinginze, ntimukore icaha kingana girtyo."
"But Lot said to them, “No, my lords, please!","Loti arabishura, at’ Oyaye mugenzi, s’ uko!"
So both of Lot’s daughters became pregnant by their father.,Uko ni kw abakobga ba Loti bompi batwaye inda bakūye kuri se.
The matter distressed Abraham greatly because it concerned his son.,Aburahamu ababazwa cane n’ ivy’ uwo mwana wiwe.
"Abraham said, “I swear it.”","Aburahamu aramwishura, ati Ndarahira."
"Abraham set apart seven ewe lambs from the flock,",Aburahamu arobanura imyagazi y’intama ndwi ivyara yo mu mukuku wiwe.
"Kesed, Hazo, Pildash, Jidlaph and Bethuel.”",na bo bakurikirwa na Kesedi na Hazo na Piludashi na Yidilafu na Betuweli.
Sarah lived to be a hundred and twenty-seven years old.,Sara yamaze imyaka ijana na mirongwibiri n’indwi: iyo ni yo myaka Sara yamaze.
"The Hittites replied to Abraham,","Abaheti bishura Aburahamu,"
Again Abraham bowed down before the people of the land,Aburahamu yikubita imbere ya ben’ igihugu.
"Ephron answered Abraham,","Efuroni yishura Aburahamu,"
"Then the man bowed down and worshiped the Lord ,","Uwo mugabo yunamika amaso, ahimbaza Uhoraho,"
"So he said, “I am Abraham’s servant.",Ati Jewe nd’ umuntu wa Aburahamu.
Then the servant told Isaac all he had done.,Uwo muntu yīgānira Isaka ivyo yakoze vyose.
"Abraham had taken another wife, whose name was Keturah.","Aburahamu arongora uwundi mugore, yitwa Ketura."
"She bore him Zimran, Jokshan, Medan, Midian, Ishbak and Shuah.",Bavyarana Zimurani na Yokishani na Medani na Midiyani na Yishibaki na Shuwa.
Abraham left everything he owned to Isaac.,Aburahamu araga Isaka ivyo yar’ afise vyose.
Abraham lived a hundred and seventy-five years.,Nukw imisi Aburahamu yamaze n’imyaka ijana na mirongwirindwi n’itanu.
"Mishma, Dumah, Massa,","na Mishima na Duma na Masa,"
"Hadad, Tema, Jetur, Naphish and Kedemah.",na Hadadi na Tema na Yeturi na Nafishi na Kedema:
"Jacob replied, “First sell me your birthright.”","Yakobo aramwishura, ati Shit’ ubanje kungurira, nkegukira kuba samuragwa mu gishingo cawe."
So Isaac stayed in Gerar.,Nuko Isaka aba i Gerari:
From there he went up to Beersheba.,"Avayo aradūga, aja i Beri‐sheba."
They were a source of grief to Isaac and Rebekah.,batuntuza imitima ya Isaka na Rebeka.
Jacob left Beersheba and set out for Harran.,"Yakobo ava i Beri‐sheba, agenda atumbereye i Harani."
Then Jacob kissed Rachel and began to weep aloud.,"Yakobo agūmbīra Rakeli, araheza araturika ararira."
and she became pregnant and bore him a son.,"Biluha asama inda, avyarana na Yakobo umuhungu."
Leah’s servant Zilpah bore Jacob a son.,Zilupa incoreke ya Leya avyarana na Yakobo umuhungu.
Leah’s servant Zilpah bore Jacob a second son.,Maze Zilupa incoreke ya Leya avyarana na Yakobo umuhungu wa kabiri.
Leah conceived again and bore Jacob a sixth son.,"Leya asama iyindi nda, avyarana na Yakobo umuhungu agira gatandatu."
"He added, “Name your wages, and I will pay them.”","Ati Ncira ingero nzokugerera, nanje nzoyitanga."
"“Agreed,” said Laban. “Let it be as you have said.”","Labani aramwishura, ati Ndavyemeye: bize bibe nk’uk’ uvuze."
"Then Jacob put his children and his wives on camels,","Maze Yakobo ava hasi, ashira abana biwe n’abagore biwe ku ngamiya;"
"Laban called it Jegar Sahadutha, and Jacob called it Galeed.",Labani acita Yegari‐sahaduta: Yakobo na we acita Galedi.
Then Shechem’s father Hamor went out to talk with Jacob.,Maze Hamori se wa Shekemu aja kwa Yakobo ngo babonane.
Their proposal seemed good to Hamor and his son Shechem.,Amajambo yabo anezereza Hamori na Shekemu umwana wiwe.
The sons of Rachel: Joseph and Benjamin.,aba Rakeli ni Yosefu na Benyamini;
The sons of Rachel’s servant Bilhah: Dan and Naphtali.,"aba Biluha incoreke ya Rakeli, ni Dani na Nafutali;"
Isaac lived a hundred and eighty years.,Imisi Isaka yamaze n’imyaka ijana na mirongumunani.
also Basemath daughter of Ishmael and sister of Nebaioth.,"na Basemati mushiki wa Nebayoti, umukobga wa Ishimayeli."
"Adah bore Eliphaz to Esau, Basemath bore Reuel,",Esau avyarana na Ada Elifazi; Basemati na we bavyarana Ruweli;
"The sons of Eliphaz: Teman, Omar, Zepho, Gatam and Kenaz.",Bene Elifazi ni Temani na Omari na Sefo na Gatamu na Kenazi.
"The sons of Shobal: Alvan, Manahath, Ebal, Shepho and Onam.",Kand’ aba ni bo bene Shobali: Alivani na Manahati na Ebali na Shefo na Onamu.
The children of Anah: Dishon and Oholibamah daughter of Anah.,"Kand’ aba ni bo bene Ana: Dishoni na Oholibama, umukobga wa Ana nyene."
"The sons of Dishon : Hemdan, Eshban, Ithran and Keran.",Kand’ aba ni bo bene Dishoni: Hemudani na Eshibani na Yitirani na Kerani.
"The sons of Ezer: Bilhan, Zaavan and Akan.",Kand’ aba ni bo bene Etseri: Biluhani na Zavani na Akani.
The sons of Dishan: Uz and Aran.,Kand’ aba ni bo bene Dishani: Uzi na Arani.
"These were the Horite chiefs: Lotan, Shobal, Zibeon, Anah,","Aba ni bo bakuru b’imiryango bākomōtse mu Bahori: Lotani na Shobali na Sibeyoni na Ana,"
"When Hadad died, Samlah from Masrekah succeeded him as king.","Hadadi atanze, Samula w’i Masireka asubira ku ngoma yiwe."
"Oholibamah, Elah, Pinon,","na Oholibama na Ela na Pinoni,"
"Kenaz, Teman, Mibzar,","na Kenazi na Temani na Mibusari,"
"He said to them, “Listen to this dream I had:","Arababarira, at’ Enda ni mwumve inzozi narose:"
“Here comes that dreamer!” they said to each other.,"Baravugana, bati Nguriya karosi araje!"
During the seven years of abundance the land produced plentifully.,"Maze mu myaka y’uburumbuke, ukw ari ndwi, igihugu kirera, gisegenyura ivyo kurya."
"Although Joseph recognized his brothers, they did not recognize him.","Yosefu amenya bene se, ariko bo ntibamumenya."
And he put them all in custody for three days.,Bose abamaza gatatu mw ibohero.
they loaded their grain on their donkeys and left.,"Baremēka indogoba zabo izo mpeke, bavayo baragenda."
Now the famine was still severe in the land.,Kigoyi kirushiriza kuba cinshi mu gihugu.
"The sons of Reuben: Hanok, Pallu, Hezron and Karmi.","bene Reyubeni ni Henoki, na Palu, na Hesironi, na Karumi."
"The sons of Levi: Gershon, Kohath and Merari.",Bene Lewi ni Gerushoni na Kohati na Merari.
"The sons of Issachar: Tola, Puah, Jashub and Shimron.","Bene Isakari ni Tola, na Puva, na Yobu, na Shimuroni."
"The sons of Zebulun: Sered, Elon and Jahleel.",Bene Zebuloni ni Seredi na Eloni na Yakileli.
The sons of Jacob’s wife Rachel: Joseph and Benjamin.,"Bene Rakeli muka Yakobo, ni Yosefu na Benyamini."
The son of Dan: Hushim.,Mwene Dani ni Hushimu.
"The sons of Naphtali: Jahziel, Guni, Jezer and Shillem.","Bene Nafutali ni Yakiseli, na Guni, na Yeseri, na Shilemu."
"Pharaoh asked him, “How old are you?”","Farawo abaza Yakobo, at’ Imyaka umaze n’ingahe?"
Then Jacob blessed Pharaoh and went out from his presence.,"Yakobo ahezagira Farawo, araheza ava imbere yiwe."
"“I look for your deliverance, Lord .","Ewe Uhoraho, niteze agakiza kawe!"
“Naphtali is a doe set free that bears beautiful fawns.,Nafutali n’ishashi y’impongo irekuwe: Avuga amajambo meza.
So Jacob’s sons did as he had commanded them:,Bene Yakobo bamugirira uko yabageze:
"Do your best to come to me quickly,",Gira umwete wo kuza aho ndi vuba.
I sent Tychicus to Ephesus.,Ariko Tukiko namurungitse muri Efeso.
Greet Priscilla and Aquila and the household of Onesiphorus.,Untahirize Purisikila na Akwila n’abo kwa Onesiforo.
"from Simeon, Shelumiel son of Zurishaddai;",mu ba Simeyoni ni Shelumiyeli mwene Surishadayi;
"from Judah, Nahshon son of Amminadab;",mu ba Yuda ni Nahashoni mwene Aminadabu;
"from Issachar, Nethanel son of Zuar;",mu ba Isakari ni Netaneli mwene Suwari;
"from Zebulun, Eliab son of Helon;",mu ba Zebuloni ni Eliyabu mwene Heloni;
"from Benjamin, Abidan son of Gideoni;",mu ba Benyamini ni Abidani mwene Gideyoni;
"from Dan, Ahiezer son of Ammishaddai;",mu ba Dani ni Ahiyeseri mwene Amishadayi;
"from Asher, Pagiel son of Okran;",mu ba Asheri ni Pagiyeli mwene Okirani;
"from Gad, Eliasaph son of Deuel;",mu ba Gadi ni Eliyasafu mwene Duweli;
"from Naphtali, Ahira son of Enan.”",mu ba Nafutali ni Ahira mwene Enani.
"The number from the tribe of Reuben was 46,500.",abāharūwe bo mu muryango wa Reyubeni baba ibihumbi mirongwine na bitandatu n’amajana atanu.
"The number from the tribe of Simeon was 59,300.",abāharūwe bo mu muryango wa Simeyoni baba ibihumbi mirongwitanu n’ icenda n’amajana atatu.
"The number from the tribe of Gad was 45,650.",abāharūwe bo mu muryango wa Gadi baba ibihumbi mirongwine na bitanu n’amajana atandatu na mirongwitanu.
"The number from the tribe of Judah was 74,600.",abāharūwe bo mu muryango wa Yuda baba ibihumbi mirongwirindwi n’amajana atandatu.
"The number from the tribe of Issachar was 54,400.",abāharūwe bo mu muryango wa Isakari baba ibihumbi mirongwitanu na bine n’amajana ane.
"The number from the tribe of Zebulun was 57,400.",abāharūwe bo mu muryango wa Zebuloni baba ibihumbi mirongwitanu n’ indwi n’amajana ane.
"The number from the tribe of Ephraim was 40,500.",abāharūwe bo mu muryango wa Efurayimu baba ibihumbi mirongwine n’amajana atanu.
"The number from the tribe of Manasseh was 32,200.",abāharūwe bo mu muryango wa Manase baba ibihumbi mirongwitatu na bibiri n’amajana abiri.
"The number from the tribe of Benjamin was 35,400.",abāharūwe bo mu muryango wa Benyamini baba ibihumbi mirongwitatu na bitanu n’amajana ane.
"The number from the tribe of Dan was 62,700.",abāharūwe bo mu muryango wa Dani baba ibihumbi mirongwitandatu na bibiri n’amajana ndwi.
"The number from the tribe of Asher was 41,500.",abāharūwe bo mu muryango wa Asheri baba ibihumbi mirongwine na kimwe n’amajana atanu.
"The number from the tribe of Naphtali was 53,400.",abāharūwe bo mu muryango wa Nafutali baba ibihumbi mirongwitanu na bitatu n’amajana ane.
"The total number was 603,550.","abāharūwe bose na bose baba ibihumbi amajana atandatu na bitatu, n’amajana atanu na mirongwitanu."
The Lord had said to Moses:,"kuk’ Uhoraho yabariye Mose,"
The Lord said to Moses and Aaron:,"Uhoraho abarira Mose na Aroni,"
"His division numbers 74,600.",Ingabo zāharūwe zabo zar’ ibihumbi mirongwirindwi na bine n’amajana atandatu.
"His division numbers 54,400.",ingabo zāharūwe zabo zar’ ibihumbi mirongwitanu na bine n’amajana ane.
"His division numbers 57,400.",ingabo zāharūwe zabo zar’ ibihumbi mirongwitanu n’indwi n’amajana ane.
"His division numbers 46,500.",Ingabo zāharūwe zabo zar’ ibihumbi mirongwine na bitandatu n’amajana atanu.
"His division numbers 59,300.",ingabo zāharūwe zabo zar’ ibihumbi mirongwitanu n’icenda n’amajana atatu.
"His division numbers 45,650.",ingabo zāharūwe zabo zar’ ibihumbi mirongwine na bitanu n’amajana atandatu na mirongwitanu.
"His division numbers 40,500.",Ingabo zāharūwe zabo zar’ ibihumbi mirongwine n’amajana atanu.
"His division numbers 32,200.",ingabo zāharūwe zabo zar’ ibihumbi mirongwitatu na bibiri n’amajana abiri.
"His division numbers 35,400.",ingabo zāharūwe zabo zar’ ibihumbi mirongwitatu na bitanu n’amajana ane.
"His division numbers 62,700.",Ingabo zāharūwe zabo zar’ ibihumbi mirongwitandatu na bibiri n’amajana ndwi.
"His division numbers 41,500.",ingabo zāharūwe zabo zar’ ibihumbi mirongwine na kimwe n’amajana atanu.
"His division numbers 53,400.",ingabo zāharūwe zabo zar’ ibihumbi mirongwitanu na bitatu n’amajana ane.
"The Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord also said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses in the Desert of Sinai,","Uhoraho abaririra Mose mu bugaragwa bg’i Sinayi,"
"The Kohathite clans: Amram, Izhar, Hebron and Uzziel.","Aba ni bo bene Kohati, nk’ukw imiryango yabo iri: Amuramu na Isihari na Heburoni na Uziyeli."
"The Lord also said to Moses,","Uhoraho abarira Mose,"
The Lord said to Moses and Aaron:,"Uhoraho abarira Mose na Aroni,"
"The Lord said to Moses and Aaron,","Uhoraho abarira Mose na Aroni,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
“Count the Merarites by their clans and families.,"Ku vy’aba Merari na bo, ubaharūre nk’ukw imiryango yabo iri, nk’ukw amazu ya ba sekuruza ari;"
"counted by clans, were 2,750.","Abāharūwe bo muri bo, nk’ukw imiryango yabo iri, baba ibihumbi bibiri n’amajana ndwi na mirongwitanu."
The Gershonites were counted by their clans and families.,"Kand’ abāharūwe bo mu ba Gerushoni, nk’ukw imiryango yabo iri, nk’ukw amazu ya ba sekuruza ari,"
"counted by their clans and families, were 2,630.","bār’ ibihumbi bibiri n’amajana atandatu na mirongwitatu, bāharūwe nk’ukw imiryango yabo iri, nk’ukw amazu ya ba sekuruza ari."
The Merarites were counted by their clans and families.,"Kand’ abāharūwe bo mu miryango y’aba Merari, nk’ukw imiryango yabo iri, nk’ukw amazu ya ba sekuruza ari,"
"counted by their clans, were 3,200.","bār’ ibihumbi bitatu n’amajana abiri, bāharūwe nk’ukw imiryango yabo iri, nk’ukw amazu ya ba sekuruza ari."
"numbered 8,580.",abāharūwe bo muri bo baba ibihumbi munani n’amajana atanu na mirongumunani.
"The Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"Then the Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
“ ‘ “The Lord bless you and keep you;,"mut’ Uhoraho aguhe umugisha, akuzigame;"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering ;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’ isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’ agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’ isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
one male goat for a sin offering;,n’ isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"The Lord said to Moses,","Uhoraho abarira Mose,"
The Lord said to Moses:,"Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
“Have the Israelites celebrate the Passover at the appointed time.,at’ Abisirayeli bakwiye kurya ivya Pasika mu gihe cayo cashinzwe.
"So Moses told the Israelites to celebrate the Passover,",Mose araheza abarira Abisirayeli yuko bakwiye kuzorya ivya Pasika.
"Then the Lord said to Moses,","Uhoraho abarira Mose,"
The Lord said to Moses:,"Uhoraho abarira Mose,"
The manna was like coriander seed and looked like resin.,"Kand’ iyo manu yasa n’utubuto tw’agati kitwa gadi, ishusho yayo yasa n’ivyitwa budola."
"The Lord said to Moses,","Uhoraho abarira Mose,"
"from the tribe of Simeon, Shaphat son of Hori;",Mu muryango wa Simeyoni hatumwa Shafati mwene Hori.
"from the tribe of Judah, Caleb son of Jephunneh;",Mu muryango wa Yuda hatumwa Kalebu mwene Yefune.
"from the tribe of Issachar, Igal son of Joseph;",Mu muryango wa Isakari hatumwa Igalu mwene Yosefu.
"from the tribe of Ephraim, Hoshea son of Nun;",Mu muryango wa Efurayimu hatumwa Hoseya mwene Nuni.
"from the tribe of Benjamin, Palti son of Raphu;",Mu muryango wa Benyamini hatumwa Paluti mwene Rafu.
"from the tribe of Zebulun, Gaddiel son of Sodi;",Mu muryango wa Zebuloni hatumwa Gadiyeli mwene Sodi.
"from the tribe of Dan, Ammiel son of Gemalli;",Mu muryango wa Dani hatumwa Amiyeli mwene Gemali.
"from the tribe of Asher, Sethur son of Michael;",Mu muryango wa Asheri hatumwa Seturi mwene Mikayeli.
"from the tribe of Naphtali, Nahbi son of Vophsi;",Mu muryango wa Nafutali hatumwa Nakibi mwene Vofusi.
"from the tribe of Gad, Geuel son of Maki.",Mu muryango wa Gadi hatumwa Geweli mwene Maki.
"The Lord replied, “I have forgiven them, as you asked.","Uhoraho aramwishura, ati Ndabahariye nk’uk’ unsavye;"
The Lord said to Moses and Aaron:,"Uhoraho abarira Mose na Aroni,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"When Moses heard this, he fell facedown.","Mose avyumvise, arapfukama arūnama."
"Moses also said to Korah, “Now listen, you Levites!","Maze Mose abarira Kora, at’ Enda ni mwumve, yemwe Balewi:"
"The Lord said to Moses and Aaron,","Uhoraho abarira Mose na Aroni,"
"Then the Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"and the Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
Moses did just as the Lord commanded him.,"Mose agenza kuno: uk’ Uhoraho yamugeze, aba ari kw akora."
"The Lord said to Moses,","Uhoraho abarira Mose,"
The Lord said to Moses and Aaron:,"Uhoraho abarira Mose na Aroni,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
The Israelites moved on and camped at Oboth.,"Abisirayeli barahaguruka, basagaza ahitwa Oboti."
"from Mattanah to Nahaliel, from Nahaliel to Bamoth,","bavuduka i Matana, bashika i Nahaliyeli; bavuduka i Nahaliyeli bashika i Bamoti;"
So Israel settled in the land of the Amorites.,Uko ni kw Abisirayeli babaye mu gihugu c’Abamori.
Then Balaam went with Balak to Kiriath Huzoth.,"Nuko Balamu ajana na Balaki, baja i Kiriyati‐husoti."
"“How beautiful are your tents, Jacob, your dwelling places, Israel!","At’ Ewe kuntu amahema yanyu ari meza, yemwe aba Yakobo, Ukuntu imihana yanyu ari myiza, yemwe Abisirayeli!"
